20,稀有套三+客厅带8平米大阳台+户型方正+对中庭,两河锦地??3室1厅??88平米??东南,高家庄二手房/高楼层(共18层)/2007年建板楼,迎宾路小学满五年唯一随时看房,70万,7955 元/m2,56人看过此房
21,营门口立交旁 优质套二 六十多买电梯套二 您还观望？,澳林春天??2室1厅??72.4平米??东南,一品天下二手房/中楼层(共23层)/2009年建板楼,奥林小学满五年唯一随时看房,60万,8288 元/m2,81人看过此房
22,比华利利用率超高套二，可改套三,比华利国际城一期??2室2厅??85.96平米??西南,川师二手房/高楼层(共26层)/2008年建塔楼,菱窼路小学满五年唯一随时看房,83万,9656 元/m2,79人看过此房
23,南一环 肖家河 标准套二 黄金二楼 玉林附小,肖家河北街88号??2室2厅??73.75平米??东南,衣冠庙二手房/低楼层(共7层)/1996年建,玉林附小距离3号线高升桥站559米满五年唯一独家随时看房,64万,8678 元/m2,41人看过此房
24,畜牧食品局厅长房 自带私家花园 喝茶纳凉种花大四房,武侯祠大街4号??4室1厅??111.88平米??东北,华西二手房/低楼层(共5层)/1995年建板塔结合,锦里小学距离1号线华西坝站1002米满五年唯一独家,105万,9386 元/m2,29人看过此房
25,仁和世代春天 大户型套 稀缺带入户花园 户型采光好,仁和世代春天??3室2厅??148.69平米??东,西南财大二手房/低楼层(共22层)/2005年建板楼,光华小学距离4号线西南财大站732米满五年唯一随时看房,198万,13317 元/m2,15人看过此房
26,双楠菊园 钻石二楼 南北通透 正读武侯,菊园??2室1厅??64.09平米??南,双楠二手房/低楼层(共7层)/2002年建板塔结合,满五年唯一,57万,8894 元/m2,86人看过此房
27,内光华 中庭三居 一楼带花园 有上青羊实验附小名额 ,贝森兴苑??3室2厅??89.29平米??南,贝森二手房/低楼层(共7层)/2000年建板楼,青羊实验附小距离4号线文化宫站780米满五年唯一独家随时看房,75万,8400 元/m2,25人看过此房
28,二环内温馨小家庭,营中巷32号??2室1厅??58.68平米??南,抚琴小区二手房/高楼层(共6层)/1995年建板楼,金琴路小学距离2号线蜀汉路东站760米满五年唯一独家,49万,8351 元/m2,34人看过此房
29,一环内品质园林小区，精装套二，内跃带花园，可做套三,澳深花园??3室2厅??103.53平米??东,猛追湾二手房/高楼层(共7层)/2001年建板楼,距离4号线玉双路站498米满五年唯一独家,94万,9080 元/m2,26人看过此房
,title,where,other,chanquan,price,price-pre,square
0,曦城 经典套二 客厅带大阳台全面对中庭黄金6楼,曦城??2室1厅??72.77平米??南,花牌坊二手房/低楼层(共34层)/2009年建板楼,石笋街小学西区满五年唯一独家随时看房,91万,12506 元/m2,26人看过此房
1,翠云庭,翠云庭??3室2厅??138平米??东,航空路二手房/中楼层(共12层)/2002年建板楼,科华中路小学距离1号线桐梓林站226米满五年唯一独家随时看房,157万,11377 元/m2,45人看过此房
2,稀缺纯中庭八角客厅全落地采光精装套三,新里维多利亚公寓??3室2厅??147.05平米??南,神仙树二手房/中楼层(共13层)/2005年建板楼,高新实小旧校区满五年唯一独家随时看房,198万,13465 元/m2,75人看过此房
3,园林小区  大平层 带休闲厅 套四带保姆间,二十一世纪花园一、二期??4室2厅??158.23平米??南,贝森二手房/高楼层(共7层)/2003年建板楼,青羊实验附小距离4号线清江西路站490米满五年唯一独家随时看房,106万,6700 元/m2,70人看过此房
4,黄金二楼 户型方正 主卧客厅都带大阳台  学区房,红运花园馨苑??3室1厅??95平米??东南,五大花园二手房/低楼层(共7层)/1998年建板楼,龙祥路小学满五年唯一独家随时看房,64万,6737 元/m2,31人看过此房
5,小区单价低》南北通透》满两年对中庭视野开阔,置信丽都花园丽府??4室2厅??145.3平米??南,丽都二手房/低楼层(共18层)/2011年建板楼,距离3号线红牌楼站931米满五年唯一随时看房,190万,13077 元/m2,31人看过此房
6,稀缺套二带大阳台 居家精装 中间楼层 空房出售 ,锦江城市花园二期??2室2厅??72.99平米??西北,三圣乡二手房/中楼层(共34层)/2010年建塔楼,锦江外国语小学满五年唯一独家随时看房,68万,9317 元/m2,41人看过此房
7,融城理想新上南北通透套三，非常安静，一梯一户,融城理想??3室2厅??141平米??南,市一医院二手房/低楼层(共16层)/2005年建板塔结合,距离1号线高新站227米满五年唯一独家随时看房,157万,11135 元/m2,49人看过此房
8,鹭岛国际精装套三，送入户花园，前后中庭，南北通透！,鹭岛国际一二期??3室2厅??148平米??东南,外双楠二手房/中楼层(共11层)/2006年建板楼,龙祥路小学满五年唯一独家,230万,15541 元/m2,15人看过此房
9,居家装修 中间楼层 看房方便 房东稳定 配套齐全。,汇融云庭??2室2厅??81.67平米??南,理工大二手房/中楼层(共31层)/2009年建板塔结合,二仙桥学校满五年唯一独家随时看房,71万,8694 元/m2,32人看过此房
10,急售精装F2，拎包入住，地铁口免营业税,上锦颐园??3室2厅??87平米??西南,红光二手房/中楼层(共24层)/2008年建板塔结合,满五年唯一独家随时看房,51万,5863 元/m2,177人看过此房
11,市中心文殊院旁 正朝南对小区中庭明厨明卫 人车分流 ,北斗星花园??3室2厅??148.01平米??南,草市街二手房/低楼层(共21层)/1996年建板楼,双眼井小学距离4号线太升南路站1074米满五年唯一,125万,8446 元/m2,156人看过此房
12,精装修 黄金楼层 套三幻变套四 正读晋阳小学 ,西郡香林??3室2厅??97平米??南,五大花园二手房/中楼层(共11层)/2006年建板楼,晋阳小学满五年唯一,94万,9691 元/m2,41人看过此房
13,小区在售唯一此户型，安静不临街，基装保养好,康郡??3室1厅??104.2平米??南 北,东光小区二手房/中楼层(共11层)/2006年建板楼,盐道街小学得胜分校满五年唯一独家,130万,12477 元/m2,113人看过此房
14,21世纪花园四期 精装跃层双主卧双阳台 正读青羊附小,二十一世纪花园四期??3室2厅??148平米??南,贝森二手房/低楼层(共7层)/2003年建板楼,青羊实验附小距离4号线清江西路站952米满五年唯一随时看房,120万,8109 元/m2,97人看过此房
15,此房已经有客户定了，10月中旬签约，未签合同不能下架,武侯国际花园??2室2厅??80平米??南,红牌楼二手房/低楼层(共13层)/2009年建板楼,满五年唯一随时看房,80万,10000 元/m2,79人看过此房
16,城南 二环内 天府花园 别墅小区 户型好 环境好 ,天府花园??3室1厅??117.6平米??南,芳草二手房/低楼层(共9层)/2005年建板楼,芳草小学距离3号线衣冠庙站818米满五年唯一随时看房,116万,9864 元/m2,67人看过此房
17,首付不足25万，黄金三楼精装套二，卧室双阳台，南北向,锦秀民居??2室2厅??95平米??南,府南新区二手房/中楼层(共7层)/2001年建板楼,实小战旗分校距离4号线文化宫站910米满五年唯一随时看房,76万,8000 元/m2,116人看过此房
18,翠云庭,翠云庭??3室2厅??143.6平米??南,航空路二手房/低楼层(共12层)/2002年建板楼,科华中路小学距离1号线桐梓林站226米满五年唯一随时看房,136万,9471 元/m2,48人看过此房
19,玉林嘉苑霸气套三 安静不临街黄金楼层 理想家园,玉林嘉苑??3室2厅??112平米??南,玉林二手房/中楼层(共7层)/1999年建板楼,玉林小学距离1号线倪家桥站1099米满五年唯一随时看房,107万,9554 元/m2,63人看过此房
20,稀有套三+客厅带8平米大阳台+户型方正+对中庭,两河锦地??3室1厅??88平米??东南,高家庄二手房/高楼层(共18层)/2007年建板楼,迎宾路小学满五年唯一随时看房,70万,7955 元/m2,56人看过此房
21,营门口立交旁 优质套二 六十多买电梯套二 您还观望？,澳林春天??2室1厅??72.4平米??东南,一品天下二手房/中楼层(共23层)/2009年建板楼,奥林小学满五年唯一随时看房,60万,8288 元/m2,81人看过此房
22,比华利利用率超高套二，可改套三,比华利国际城一期??2室2厅??85.96平米??西南,川师二手房/高楼层(共26层)/2008年建塔楼,菱窼路小学满五年唯一随时看房,83万,9656 元/m2,79人看过此房
23,南一环 肖家河 标准套二 黄金二楼 玉林附小,肖家河北街88号??2室2厅??73.75平米??东南,衣冠庙二手房/低楼层(共7层)/1996年建,玉林附小距离3号线高升桥站559米满五年唯一独家随时看房,64万,8678 元/m2,41人看过此房
24,畜牧食品局厅长房 自带私家花园 喝茶纳凉种花大四房,武侯祠大街4号??4室1厅??111.88平米??东北,华西二手房/低楼层(共5层)/1995年建板塔结合,锦里小学距离1号线华西坝站1002米满五年唯一独家,105万,9386 元/m2,29人看过此房
25,仁和世代春天 大户型套 稀缺带入户花园 户型采光好,仁和世代春天??3室2厅??148.69平米??东,西南财大二手房/低楼层(共22层)/2005年建板楼,光华小学距离4号线西南财大站732米满五年唯一随时看房,198万,13317 元/m2,15人看过此房
26,双楠菊园 钻石二楼 南北通透 正读武侯,菊园??2室1厅??64.09平米??南,双楠二手房/低楼层(共7层)/2002年建板塔结合,满五年唯一,57万,8894 元/m2,86人看过此房
27,内光华 中庭三居 一楼带花园 有上青羊实验附小名额 ,贝森兴苑??3室2厅??89.29平米??南,贝森二手房/低楼层(共7层)/2000年建板楼,青羊实验附小距离4号线文化宫站780米满五年唯一独家随时看房,75万,8400 元/m2,25人看过此房
28,二环内温馨小家庭,营中巷32号??2室1厅??58.68平米??南,抚琴小区二手房/高楼层(共6层)/1995年建板楼,金琴路小学距离2号线蜀汉路东站760米满五年唯一独家,49万,8351 元/m2,34人看过此房
29,一环内品质园林小区，精装套二，内跃带花园，可做套三,澳深花园??3室2厅??103.53平米??东,猛追湾二手房/高楼层(共7层)/2001年建板楼,距离4号线玉双路站498米满五年唯一独家,94万,9080 元/m2,26人看过此房
,title,where,other,chanquan,price,price-pre,square
0,比华利二期套二客厅正带阳台安静不吵,比华利二期??2室2厅??77.84平米??西北,川师二手房/中楼层(共26层)/2011年建板楼,菱窼路小学房本满两年独家随时看房,85万,10920 元/m2,51人看过此房
1,投资好房中海名城顶楼带花园套三双卫 精装修学区地铁,中海名城一期??3室2厅??132平米??南,神仙树二手房/高楼层(共6层)/2002年建板楼,高新实小旧校区房本满两年独家随时看房,200万,15152 元/m2,36人看过此房
2,恒大西锦城精装大套三带家电家具+东南朝向+前后对中庭,恒大西锦城??3室2厅??137.39平米??东南,国宾二手房/低楼层(共29层)/2012年建塔楼,距离2号线迎宾大道站388米房本满两年独家随时看房,150万,10918 元/m2,23人看过此房
3,丽都帝景小三居室 地铁房 业主诚意出售,丽都帝景??2室1厅??91.9平米??南,丽都二手房/高楼层(共15层)/2007年建板楼,距离3号线太平园站827米房本满两年随时看房,85万,9250 元/m2,36人看过此房
4,出来一天 20多组带看 你就知道房子有多好 精装修 ,翡翠城三期??3室2厅??149.69平米??东南,东湖二手房/高楼层(共32层)/2008年建板楼,成师附小华润分校房本满两年随时看房,228万,15232 元/m2,52人看过此房
5,地铁3号线，交通便利，纵享20年成熟小区配套，,平安苑??2室2厅??108平米??南,金牛万达二手房/中楼层(共7层)/2003年建板楼,人北实验小学满五年唯一随时看房,88万,8149 元/m2,39人看过此房
6,1楼但采光绝对霸气不信可以实地看房,嘉瑞苑二期??3室2厅??133.78平米??南,外双楠二手房/低楼层(共6层)/2004年建板楼,川大附小西区满五年唯一随时看房,123万,9195 元/m2,42人看过此房
7,套二可改套三，送40㎡大花园，,恒大绿洲??2室1厅??76.7平米??东南,大面二手房/低楼层(共11层)/2011年建板塔结合,满五年唯一随时看房,62万,8084 元/m2,121人看过此房
8,过度投资首选 巷上品质套一,巷上生活馆??2室1厅??53.88平米??南,广福桥二手房/高楼层(共14层)/2008年建板楼,石室双楠实验学校距离3号线高升桥站621米满五年唯一独家随时看房,59万,10951 元/m2,21人看过此房
9,价格包含车位地铁口园林式小区正对游泳池视野开阔,武侯国际花园??3室1厅??103.77平米??南,红牌楼二手房/中楼层(共13层)/2009年建板楼,房本满两年,122万,11757 元/m2,24人看过此房
10,.神盘千居朝阳！黄金楼层！拎包入住！,千居朝阳??2室2厅??82.18平米??东南,万象城二手房/高楼层(共18层)/2008年建板楼,双庆小学距离4号线万年场站站736米房本满两年独家随时看房,82万,9979 元/m2,42人看过此房
11,其他房子都在涨，楼王位置 也只有他 不涨,华润二十四城二期??3室2厅??83.39平米??东南,万象城二手房/高楼层(共32层)/2011年建塔楼,石室小学距离4号线万年场站站190米房本满两年独家随时看房,113万,13551 元/m2,39人看过此房
12,二环华润二十城，精装房从没住过人，朝南石室小学学位房,华润二十四城一期??3室2厅??124.85平米??东北,万象城二手房/中楼层(共32层)/2007年建塔楼,石室小学距离4号线双桥路站527米房本满两年独家随时看房,175万,14017 元/m2,37人看过此房
13,金沙遗址旁，清水稀缺套三，采光好,金沙上城??3室2厅??81.7平米??东,蜀汉路二手房/低楼层(共6层)/2006年建板塔结合,营门口小学距离2号线一品天下站576米满五年唯一随时看房,68万,8324 元/m2,24人看过此房
14,正读川大附小西区 观清水河 拉通式阳台 视野极佳,喜丽佳园??2室1厅??85.6平米??北,外双楠二手房/高楼层(共11层)/2006年建板楼,川大附小西区满五年唯一独家,78万,9113 元/m2,33人看过此房
15,置信品质 81万买顶楼带花园 仅此一套 双楠学区房,双楠谊苑二期二区??3室1厅??84.51平米??南,双楠二手房/高楼层(共7层)/1999年建板塔结合,武侯实验小学满五年唯一随时看房,81万,9585 元/m2,6人看过此房
16,万达旁 东湖国际 精装跃层 随时可以看 诚心出售,东湖国际??3室2厅??89.12平米??南,东湖二手房/低楼层(共33层)/2012年建塔楼,东湖小学房本满两年独家随时看房,146万,16383 元/m2,62人看过此房
17,3号地铁口新鲜出炉全面看河景精装自住三居完全拎包入住,都会风尚??3室2厅??118.5平米??南,合江亭二手房/中楼层(共32层)/2009年建板楼,龙王庙小学距离2号线春熙路站842米房本满两年独家随时看房,205万,17300 元/m2,162人看过此房
18,对中庭 精装套三 现代装修风格 完全拎包入住,凯瑞花都??3室2厅??118.16平米??西南,抚琴小区二手房/中楼层(共18层)/2008年建塔楼,金琴路小学距离2号线蜀汉路东站905米房本满两年独家随时看房,125万,10579 元/m2,40人看过此房
19,私家平台花园相伴 简单装修 随心所欲打造,龙华阳光??3室2厅??96平米??南,外双楠二手房/低楼层(共11层)/2006年建板楼,川大附小西区房本满两年独家随时看房,106万,11042 元/m2,76人看过此房
20,金沙高端楼盘  金沙小学学区房 随时看房,金沙云庭??3室1厅??161平米??南,金沙二手房/高楼层(共13层)/2012年建板楼,金沙小学距离4号线清江西路站834米房本满两年独家随时看房,368万,22858 元/m2,66人看过此房
21,地铁房、学区房、精装修，从来没有住过的精装修,果壳里的城??3室2厅??87平米??西南,龙泉驿城区二手房/中楼层(共34层)/2012年建塔楼,距离2号线书房站869米房本满两年独家随时看房,75万,8621 元/m2,56人看过此房
22,风尚国际 标准四居室送入户花园 全明格局,风尚国际??4室2厅??153.75平米??东南,高升桥二手房/低楼层(共14层)/2003年建板楼,红牌楼小学距离3号线高升桥站631米房本满两年独家随时看房,146万,9496 元/m2,93人看过此房
23,低楼层，采光好，单价低，对中庭、有学区名额,翡翠城一期??3室2厅??113.89平米??北,东湖二手房/低楼层(共11层)/塔楼,成师附小华润分校房本满两年独家随时看房,156万,13698 元/m2,120人看过此房
24,青华路24号 电力单位宿舍 浣花溪公园正对面,青华路24号??3室2厅??111.22平米??南,草堂二手房/高楼层(共7层)/1997年建板楼,青华小学距离4号线草堂北路站529米满五年唯一随时看房,93万,8362 元/m2,25人看过此房
25,精装顶跃带花园 中庭位置 位置安静 正读益州小学 ,中海兰庭??3室2厅??140.63平米??西北,大源二手房/高楼层(共24层)/2009年建板塔结合,益州小学房本满两年独家随时看房,208万,14791 元/m2,79人看过此房
26,成都花园稀缺精装大套四 中心位置 正读成都实小地铁口,成都花园翠雍华庭??3室2厅??143.47平米??南,西南财大二手房/低楼层(共11层)/2002年建板楼,花园小学房本满两年独家随时看房,172万,11989 元/m2,106人看过此房
27,半岛楼王位置，锦江回流聚宝位置，值得一看！,长城半岛城邦3期??4室2厅??179.85平米??东南,天府长城二手房/中楼层(共33层)/2013年建板塔结合,锦晖小学房本满两年独家随时看房,400万,22241 元/m2,97人看过此房
28,稀缺临河顶楼 带屋顶花园 游泳池 板式通透视野无敌 ,翡翠城四期??5室2厅??255平米??南,东湖二手房/高楼层(共32层)/2007年建板楼,成师附小华润分校满五年唯一,420万,16471 元/m2,52人看过此房
29,学区房近地铁商场,首创国际城一期??2室2厅??85.5平米??东南,成渝立交二手房/中楼层(共34层)/2010年建塔楼,树德小学距离2号线成渝立交站606米满五年唯一随时看房,80万,9357 元/m2,30人看过此房
,title,where,other,chanquan,price,price-pre,square
0,送8㎡入户 南北通透户型 可改套四 你值得拥有,金牛花园??3室2厅??138平米??西北,高家庄二手房/低楼层(共17层)/2009年建板楼,房本满两年独家随时看房,100万,7247 元/m2,34人看过此房
1,育才主打稀缺户型  装修好 户型通透  ,育才都市家园二期??3室2厅??129平米??西南,东光小区二手房/中楼层(共11层)/2006年建塔楼,盐道街小学得胜分校房本满两年独家随时看房,148万,11473 元/m2,55人看过此房
